Zeit;Verbrauch 
01.01. 00:00;6,4415
01.01. 00:15;6,1563
01.01. 00:30;5,8613
01.01. 00:45;5,6056
01.01. 01:00;5,3892
01.01. 01:15;5,222
01.01. 01:30;5,0843
01.01. 01:45;4,9663
01.01. 02:00;4,8582
01.01. 02:15;4,7696
01.01. 02:30;4,7106
01.01. 02:45;4,691
01.01. 03:00;4,7106
01.01. 03:15;4,7893
01.01. 03:30;4,9368
01.01. 03:45;5,1434
01.01. 04:00;5,4187
01.01. 04:15;5,7236
01.01. 04:30;6,0186
01.01. 04:45;6,2448
01.01. 05:00;6,3923
01.01. 05:15;6,4907
01.01. 05:30;6,5988
01.01. 05:45;6,7955
01.01. 06:00;7,1299
01.01. 06:15;7,5823
01.01. 06:30;8,1527
01.01. 06:45;8,8214
01.01. 07:00;9,5983
01.01. 07:15;10,552
01.01. 07:30;11,791
01.01. 07:45;13,414
01.01. 08:00;15,45
01.01. 08:15;17,653
01.01. 08:30;19,718
01.01. 08:45;21,321
01.01. 09:00;22,245
01.01. 09:15;22,619
01.01. 09:30;22,658
01.01. 09:45;22,609
01.01. 10:00;22,619
01.01. 10:15;22,737
01.01. 10:30;22,914
01.01. 10:45;23,16
01.01. 11:00;23,416
01.01. 11:15;23,602
01.01. 11:30;23,642
01.01. 11:45;23,435
01.01. 12:00;22,914
01.01. 12:15;22,137
01.01. 12:30;21,213
01.01. 12:45;20,219
01.01. 13:00;19,246
01.01. 13:15;18,361
01.01. 13:30;17,623
01.01. 13:45;17,092
01.01. 14:00;16,817
01.01. 14:15;16,787
01.01. 14:30;16,984
01.01. 14:45;17,367
01.01. 15:00;17,908
01.01. 15:15;18,508
01.01. 15:30;19,069
01.01. 15:45;19,482
01.01. 16:00;19,678
01.01. 16:15;19,737
01.01. 16:30;19,757
01.01. 16:45;19,846
01.01. 17:00;20,062
01.01. 17:15;20,239
01.01. 17:30;20,21
01.01. 17:45;19,757
01.01. 18:00;18,754
01.01. 18:15;17,367
01.01. 18:30;15,784
01.01. 18:45;14,24
01.01. 19:00;12,912
01.01. 19:15;11,811
01.01. 19:30;10,946
01.01. 19:45;10,287
01.01. 20:00;9,8343
01.01. 20:15;9,5098
01.01. 20:30;9,2541
01.01. 20:45;9,0082
01.01. 21:00;8,7034
01.01. 21:15;8,3788
01.01. 21:30;8,074
01.01. 21:45;7,8085
01.01. 22:00;7,6314
