Zeit;pv
01.01. 00:00;0
01.01. 01:00;0
01.01. 02:00;0
01.01. 03:00;0
01.01. 04:00;0
01.01. 05:00;0
01.01. 06:00;0
01.01. 07:00;0
01.01. 08:00;1,8279
01.01. 09:00;23,211
01.01. 10:00;34,251
01.01. 11:00;13,346
01.01. 12:00;22,492
01.01. 13:00;18,081
01.01. 14:00;10,091
01.01. 15:00;0,67325
01.01. 16:00;0
01.01. 17:00;0
01.01. 18:00;0
01.01. 19:00;0
01.01. 20:00;0
01.01. 21:00;0
01.01. 22:00;0
01.01. 23:00;0
02.01. 00:00;0
02.01. 01:00;0
02.01. 02:00;0
02.01. 03:00;0
02.01. 04:00;0
02.01. 05:00;0
02.01. 06:00;0
02.01. 07:00;0
02.01. 08:00;2,7818
02.01. 09:00;27,569
02.01. 10:00;55,638
02.01. 11:00;64,085
02.01. 12:00;32,7
02.01. 13:00;4,1086
02.01. 14:00;3,7749
02.01. 15:00;0,93923
02.01. 16:00;0
02.01. 17:00;0
02.01. 18:00;0
02.01. 19:00;0
02.01. 20:00;0
02.01. 21:00;0
02.01. 22:00;0
02.01. 23:00;0
03.01. 00:00;0
03.01. 01:00;0
03.01. 02:00;0
03.01. 03:00;0
03.01. 04:00;0
03.01. 05:00;0
03.01. 06:00;0
03.01. 07:00;0
03.01. 08:00;0,94723
03.01. 09:00;13,043
03.01. 10:00;35,824
03.01. 11:00;36,909
03.01. 12:00;28,378
03.01. 13:00;7,2483
03.01. 14:00;12,628
03.01. 15:00;10,805
03.01. 16:00;0
03.01. 17:00;0
03.01. 18:00;0
03.01. 19:00;0
03.01. 20:00;0
03.01. 21:00;0
03.01. 22:00;0
03.01. 23:00;0
04.01. 00:00;0
04.01. 01:00;0
04.01. 02:00;0
04.01. 03:00;0
04.01. 04:00;0
04.01. 05:00;0
04.01. 06:00;0
04.01. 07:00;0
04.01. 08:00;0
04.01. 09:00;7,5238
04.01. 10:00;11,062
04.01. 11:00;14,295
04.01. 12:00;8,5791
04.01. 13:00;7,1808
04.01. 14:00;3,7452
04.01. 15:00;0,66653
04.01. 16:00;0
04.01. 17:00;0
04.01. 18:00;0
04.01. 19:00;0
04.01. 20:00;0
04.01. 21:00;0
04.01. 22:00;0
04.01. 23:00;0
05.01. 00:00;0
05.01. 01:00;0
05.01. 02:00;0
05.01. 03:00;0
05.01. 04:00;0
05.01. 05:00;0
05.01. 06:00;0
05.01. 07:00;0
05.01. 08:00;0,67112
05.01. 09:00;10,77
05.01. 10:00;34,82
05.01. 11:00;57,792
05.01. 12:00;69,281
05.01. 13:00;46,804
05.01. 14:00;23,792
05.01. 15:00;4,7852
05.01. 16:00;0
05.01. 17:00;0
05.01. 18:00;0
05.01. 19:00;0
05.01. 20:00;0
05.01. 21:00;0
05.01. 22:00;0
05.01. 23:00;0
06.01. 00:00;0
06.01. 01:00;0
06.01. 02:00;0
06.01. 03:00;0
06.01. 04:00;0
06.01. 05:00;0
06.01. 06:00;0
06.01. 07:00;0
06.01. 08:00;2,7765
06.01. 09:00;15,431
06.01. 10:00;35,104
06.01. 11:00;57,267
06.01. 12:00;38,714
06.01. 13:00;39,422
06.01. 14:00;16,474
06.01. 15:00;4,0895
06.01. 16:00;0
06.01. 17:00;0
06.01. 18:00;0
06.01. 19:00;0
06.01. 20:00;0
06.01. 21:00;0
06.01. 22:00;0
06.01. 23:00;0
07.01. 00:00;0
07.01. 01:00;0
07.01. 02:00;0
07.01. 03:00;0
07.01. 04:00;0
07.01. 05:00;0
07.01. 06:00;0
07.01. 07:00;0
07.01. 08:00;0,93502
07.01. 09:00;4,7664
07.01. 10:00;10,342
07.01. 11:00;6,4667
07.01. 12:00;7,8383
07.01. 13:00;9,2333
07.01. 14:00;10,277
07.01. 15:00;2,737
07.01. 16:00;0
07.01. 17:00;0
07.01. 18:00;0
07.01. 19:00;0
07.01. 20:00;0
07.01. 21:00;0
07.01. 22:00;0
07.01. 23:00;0
08.01. 00:00;0
08.01. 01:00;0
08.01. 02:00;0
08.01. 03:00;0
08.01. 04:00;0
08.01. 05:00;0
08.01. 06:00;0
08.01. 07:00;0
08.01. 08:00;2,7684
08.01. 09:00;34,7
08.01. 10:00;66,186
08.01. 11:00;77,795
08.01. 12:00;90,378
08.01. 13:00;42,162
08.01. 14:00;6,7419
08.01. 15:00;1,4863
08.01. 16:00;0
08.01. 17:00;0
08.01. 18:00;0
08.01. 19:00;0
08.01. 20:00;0
08.01. 21:00;0
08.01. 22:00;0
08.01. 23:00;0
09.01. 00:00;0
09.01. 01:00;0
09.01. 02:00;0
09.01. 03:00;0
09.01. 04:00;0
09.01. 05:00;0
09.01. 06:00;0
09.01. 07:00;0
09.01. 08:00;2,467
09.01. 09:00;28,283
09.01. 10:00;62,704
09.01. 11:00;79,941
09.01. 12:00;52,895
09.01. 13:00;6,8215
09.01. 14:00;5,4387
09.01. 15:00;0,66649
09.01. 16:00;0
09.01. 17:00;0
09.01. 18:00;0
09.01. 19:00;0
09.01. 20:00;0
09.01. 21:00;0
09.01. 22:00;0
09.01. 23:00;0
10.01. 00:00;0
10.01. 01:00;0
10.01. 02:00;0
10.01. 03:00;0
10.01. 04:00;0
10.01. 05:00;0
10.01. 06:00;0
10.01. 07:00;0
10.01. 08:00;0,93051
10.01. 09:00;24,33
10.01. 10:00;48,474
10.01. 11:00;74,49
10.01. 12:00;76,718
10.01. 13:00;60,93
10.01. 14:00;41,871
10.01. 15:00;9,5093
10.01. 16:00;0
10.01. 17:00;0
10.01. 18:00;0
10.01. 19:00;0
10.01. 20:00;0
10.01. 21:00;0
10.01. 22:00;0
10.01. 23:00;0
11.01. 00:00;0
11.01. 01:00;0
11.01. 02:00;0
11.01. 03:00;0
11.01. 04:00;0
11.01. 05:00;0
11.01. 06:00;0
11.01. 07:00;0
11.01. 08:00;0,66634
11.01. 09:00;8,2351
11.01. 10:00;14,301
11.01. 11:00;13,216
11.01. 12:00;16,063
11.01. 13:00;8,9077
11.01. 14:00;5,7685
11.01. 15:00;1,208
11.01. 16:00;0
11.01. 17:00;0
11.01. 18:00;0
11.01. 19:00;0
11.01. 20:00;0
11.01. 21:00;0
11.01. 22:00;0
11.01. 23:00;0
12.01. 00:00;0
12.01. 01:00;0
12.01. 02:00;0
12.01. 03:00;0
12.01. 04:00;0
12.01. 05:00;0
12.01. 06:00;0
12.01. 07:00;0
12.01. 08:00;0
12.01. 09:00;3,7329
12.01. 10:00;9,5986
12.01. 11:00;12,799
12.01. 12:00;8,5371
12.01. 13:00;10,649
12.01. 14:00;7,4849
12.01. 15:00;1,8009
12.01. 16:00;0
12.01. 17:00;0
12.01. 18:00;0
12.01. 19:00;0
12.01. 20:00;0
12.01. 21:00;0
12.01. 22:00;0
12.01. 23:00;0
13.01. 00:00;0
13.01. 01:00;0
13.01. 02:00;0
13.01. 03:00;0
13.01. 04:00;0
13.01. 05:00;0
13.01. 06:00;0
13.01. 07:00;0
13.01. 08:00;4,4724
13.01. 09:00;26,908
13.01. 10:00;47,082
13.01. 11:00;18,76
13.01. 12:00;46,268
13.01. 13:00;28,293
13.01. 14:00;16,57
13.01. 15:00;4,1305
13.01. 16:00;0
13.01. 17:00;0
13.01. 18:00;0
13.01. 19:00;0
13.01. 20:00;0
13.01. 21:00;0
13.01. 22:00;0
