Datum;price;;
01.01.2024;0,01;;457
01.01.2024;0,001;;
01.01.2024;0;;
01.01.2024;-0,001;;
01.01.2024;-0,003;;
01.01.2024;-0,002;;
01.01.2024;-0,005;;
01.01.2024;-0,002;;
01.01.2024;0;;
01.01.2024;0,004;;
01.01.2024;0,006;;
01.01.2024;0,054;;
01.01.2024;0,224;;
01.01.2024;0,196;;
01.01.2024;0,104;;
01.01.2024;0,366;;
01.01.2024;4,306;;
01.01.2024;4,993;;
01.01.2024;5,8;;
01.01.2024;5,425;;
01.01.2024;4,801;;
01.01.2024;4,295;;
01.01.2024;4,709;;
01.01.2024;3,555;;
02.01.2024;3,059;;
02.01.2024;2,007;;
02.01.2024;3,103;;
02.01.2024;1,839;;
02.01.2024;1,108;;
02.01.2024;1,378;;
02.01.2024;4,763;;
02.01.2024;5,81;;
02.01.2024;6,567;;
02.01.2024;6,473;;
02.01.2024;6,898;;
02.01.2024;7,354;;
02.01.2024;7,816;;
02.01.2024;7,887;;
02.01.2024;7,924;;
02.01.2024;7,996;;
02.01.2024;8,346;;
02.01.2024;8,092;;
02.01.2024;7,495;;
02.01.2024;6,318;;
02.01.2024;5,711;;
02.01.2024;4,689;;
02.01.2024;4;;
02.01.2024;0,743;;
03.01.2024;-0,008;;
03.01.2024;-0,123;;
03.01.2024;-0,13;;
03.01.2024;-0,131;;
03.01.2024;-0,131;;
03.01.2024;-0,138;;
03.01.2024;0,109;;
03.01.2024;4,059;;
03.01.2024;5,961;;
03.01.2024;6,061;;
03.01.2024;5,7;;
03.01.2024;5,489;;
03.01.2024;5,389;;
03.01.2024;5,442;;
03.01.2024;6,086;;
03.01.2024;6,718;;
03.01.2024;7,359;;
03.01.2024;8,228;;
03.01.2024;8,297;;
03.01.2024;7,903;;
03.01.2024;7,323;;
03.01.2024;6,741;;
03.01.2024;6,5;;
03.01.2024;5,812;;
04.01.2024;5,73;;
04.01.2024;5,046;;
04.01.2024;4;;
04.01.2024;2,548;;
04.01.2024;3,5;;
04.01.2024;5,773;;
04.01.2024;7,265;;
04.01.2024;8,502;;
04.01.2024;9,147;;
04.01.2024;9,42;;
04.01.2024;9,161;;
04.01.2024;9,003;;
04.01.2024;8,63;;
04.01.2024;8,596;;
04.01.2024;9,211;;
04.01.2024;9,862;;
04.01.2024;10,573;;
04.01.2024;13,323;;
04.01.2024;14,465;;
04.01.2024;12,5;;
04.01.2024;10,359;;
04.01.2024;10,001;;
04.01.2024;9,486;;
04.01.2024;8,883;;
05.01.2024;8,608;;
05.01.2024;8,051;;
05.01.2024;7,701;;
05.01.2024;7,321;;
05.01.2024;7,405;;
05.01.2024;7,603;;
05.01.2024;8,1;;
05.01.2024;8,7;;
05.01.2024;8,957;;
05.01.2024;9,493;;
05.01.2024;9,628;;
05.01.2024;9,822;;
05.01.2024;9,224;;
05.01.2024;9,154;;
05.01.2024;9,641;;
05.01.2024;10,005;;
05.01.2024;10,297;;
05.01.2024;10,738;;
05.01.2024;10,845;;
05.01.2024;10,396;;
05.01.2024;10,009;;
05.01.2024;9,419;;
05.01.2024;9,492;;
05.01.2024;8,68;;
06.01.2024;8,225;;
06.01.2024;8,02;;
06.01.2024;7,613;;
06.01.2024;7,301;;
06.01.2024;7,301;;
06.01.2024;7,459;;
06.01.2024;7,51;;
06.01.2024;8,139;;
06.01.2024;8,84;;
06.01.2024;9,223;;
06.01.2024;9,73;;
06.01.2024;10,043;;
06.01.2024;9,916;;
06.01.2024;9,522;;
06.01.2024;9,255;;
06.01.2024;9,509;;
06.01.2024;9,985;;
06.01.2024;10,427;;
06.01.2024;10,363;;
06.01.2024;9,9;;
06.01.2024;9,214;;
06.01.2024;8,8;;
06.01.2024;8,657;;
06.01.2024;7,987;;
07.01.2024;8,408;;
07.01.2024;7,982;;
07.01.2024;7,676;;
07.01.2024;7,346;;
07.01.2024;7,186;;
07.01.2024;7,208;;
07.01.2024;7,49;;
07.01.2024;7,769;;
07.01.2024;8,179;;
07.01.2024;8,486;;
07.01.2024;8,715;;
07.01.2024;8,914;;
07.01.2024;8,866;;
07.01.2024;8,481;;
07.01.2024;8,434;;
07.01.2024;8,801;;
07.01.2024;9,342;;
07.01.2024;10,177;;
07.01.2024;10,485;;
07.01.2024;10,355;;
07.01.2024;10,05;;
07.01.2024;9,331;;
07.01.2024;9,117;;
07.01.2024;8,386;;
08.01.2024;8,702;;
08.01.2024;8,432;;
08.01.2024;8,182;;
08.01.2024;7,911;;
08.01.2024;7,848;;
08.01.2024;8,21;;
08.01.2024;9,43;;
08.01.2024;11,11;;
08.01.2024;12,111;;
08.01.2024;11,783;;
08.01.2024;11,06;;
08.01.2024;10,3;;
08.01.2024;9,55;;
08.01.2024;9,26;;
08.01.2024;10;;
08.01.2024;10,798;;
08.01.2024;11,687;;
08.01.2024;12,913;;
08.01.2024;13,001;;
08.01.2024;12,212;;
08.01.2024;11,421;;
08.01.2024;10,283;;
08.01.2024;9,998;;
08.01.2024;9,149;;
09.01.2024;8,816;;
09.01.2024;8,704;;
09.01.2024;8,5;;
09.01.2024;8,414;;
09.01.2024;8,572;;
09.01.2024;8,928;;
09.01.2024;10,851;;
09.01.2024;12,406;;
09.01.2024;13,324;;
09.01.2024;12,091;;
09.01.2024;11,319;;
09.01.2024;10,578;;
09.01.2024;10,022;;
09.01.2024;10,082;;
09.01.2024;11,089;;
09.01.2024;11,94;;
09.01.2024;12,785;;
09.01.2024;13,784;;
09.01.2024;13,78;;
09.01.2024;13,043;;
09.01.2024;12,024;;
09.01.2024;11,168;;
09.01.2024;10,618;;
09.01.2024;9,709;;
10.01.2024;8,929;;
10.01.2024;8,676;;
10.01.2024;8,673;;
10.01.2024;8,609;;
10.01.2024;8,63;;
10.01.2024;8,905;;
10.01.2024;10,888;;
10.01.2024;12,629;;
10.01.2024;14,128;;
10.01.2024;13,039;;
10.01.2024;11,856;;
10.01.2024;10,913;;
10.01.2024;10,221;;
10.01.2024;10,561;;
10.01.2024;11,291;;
10.01.2024;12,38;;
10.01.2024;13,464;;
10.01.2024;14,379;;
10.01.2024;14;;
10.01.2024;13,215;;
10.01.2024;12;;
10.01.2024;10,976;;
10.01.2024;10,449;;
10.01.2024;9,603;;
11.01.2024;9,175;;
11.01.2024;8,859;;
11.01.2024;8,725;;
11.01.2024;8,238;;
11.01.2024;8,195;;
11.01.2024;8,936;;
11.01.2024;10,207;;
11.01.2024;11,686;;
11.01.2024;14,1;;
11.01.2024;12,916;;
11.01.2024;11,365;;
11.01.2024;10,648;;
11.01.2024;9,938;;
11.01.2024;9,9;;
11.01.2024;10,598;;
11.01.2024;11,796;;
11.01.2024;13,735;;
11.01.2024;15,009;;
11.01.2024;13,669;;
11.01.2024;13,231;;
11.01.2024;11,788;;
11.01.2024;10,719;;
11.01.2024;10;;
11.01.2024;9,722;;
12.01.2024;9,104;;
12.01.2024;8,822;;
12.01.2024;8,522;;
12.01.2024;8,463;;
12.01.2024;8,434;;
12.01.2024;8,532;;
12.01.2024;9,211;;
12.01.2024;11,816;;
12.01.2024;14,074;;
12.01.2024;13,496;;
12.01.2024;12,201;;
12.01.2024;11,473;;
12.01.2024;10,698;;
12.01.2024;10,308;;
12.01.2024;10,454;;
12.01.2024;11;;
12.01.2024;12;;
12.01.2024;12,75;;
12.01.2024;12,6;;
12.01.2024;11,947;;
12.01.2024;10,879;;
12.01.2024;9,848;;
12.01.2024;9,337;;
12.01.2024;8,538;;
13.01.2024;9;;
13.01.2024;8,5;;
13.01.2024;8,2;;
13.01.2024;7,847;;
13.01.2024;7,5;;
13.01.2024;7,492;;
13.01.2024;7,81;;
13.01.2024;8,222;;
13.01.2024;8,526;;
13.01.2024;7,511;;
13.01.2024;7,421;;
13.01.2024;7,272;;
13.01.2024;7,035;;
13.01.2024;6,367;;
13.01.2024;6,791;;
13.01.2024;6,861;;
13.01.2024;7,078;;
13.01.2024;7,422;;
13.01.2024;7,581;;
13.01.2024;7,382;;
13.01.2024;7,306;;
13.01.2024;7,093;;
13.01.2024;6,43;;
13.01.2024;6,316;;
14.01.2024;6,402;;
14.01.2024;6,211;;
14.01.2024;6,293;;
14.01.2024;6,401;;
14.01.2024;6,467;;
14.01.2024;6,52;;
14.01.2024;6,731;;
14.01.2024;7,166;;
14.01.2024;7,674;;
14.01.2024;8,114;;
14.01.2024;8,063;;
14.01.2024;8,184;;
14.01.2024;8,039;;
14.01.2024;7,704;;
14.01.2024;7,915;;
14.01.2024;8,232;;
14.01.2024;8,662;;
14.01.2024;9,186;;
14.01.2024;9,697;;
14.01.2024;8,891;;
14.01.2024;8,1;;
14.01.2024;7,86;;
14.01.2024;7,539;;
14.01.2024;6,719;;
15.01.2024;6,79;;
15.01.2024;6,5;;
15.01.2024;6,394;;
15.01.2024;6,204;;
15.01.2024;6,204;;
15.01.2024;6,925;;
15.01.2024;7,995;;
15.01.2024;8,384;;
15.01.2024;9,93;;
15.01.2024;10,029;;
15.01.2024;9,488;;
15.01.2024;9,026;;
15.01.2024;8,386;;
15.01.2024;8,215;;
15.01.2024;8,45;;
15.01.2024;8,944;;
15.01.2024;9,752;;
15.01.2024;10,646;;
15.01.2024;11,28;;
15.01.2024;11,038;;
15.01.2024;10,242;;
15.01.2024;9,178;;
15.01.2024;8,949;;
15.01.2024;8,643;;
16.01.2024;8,145;;
16.01.2024;8,107;;
16.01.2024;7,992;;
16.01.2024;7,819;;
16.01.2024;7,697;;
16.01.2024;8,145;;
16.01.2024;9,407;;
16.01.2024;11,477;;
16.01.2024;14,411;;
16.01.2024;13,86;;
16.01.2024;12,2;;
16.01.2024;11;;
16.01.2024;10,343;;
16.01.2024;9,498;;
16.01.2024;9,6;;
16.01.2024;11,025;;
16.01.2024;11,139;;
16.01.2024;12,815;;
16.01.2024;12,731;;
16.01.2024;11,177;;
16.01.2024;9,549;;
16.01.2024;8,621;;
16.01.2024;8,204;;
16.01.2024;7,769;;
17.01.2024;7,161;;
17.01.2024;7,152;;
17.01.2024;7,069;;
17.01.2024;6,974;;
17.01.2024;6,947;;
17.01.2024;7,106;;
17.01.2024;7,509;;
17.01.2024;8,439;;
17.01.2024;9,65;;
17.01.2024;10,616;;
17.01.2024;11,033;;
17.01.2024;11,11;;
17.01.2024;11,771;;
17.01.2024;12,17;;
17.01.2024;12,174;;
17.01.2024;12,546;;
17.01.2024;12,856;;
17.01.2024;14,052;;
17.01.2024;12,359;;
17.01.2024;11,428;;
17.01.2024;10,98;;
17.01.2024;10,109;;
17.01.2024;9,428;;
17.01.2024;8,417;;
18.01.2024;8,133;;
18.01.2024;7,72;;
18.01.2024;7,529;;
18.01.2024;7,491;;
18.01.2024;7,757;;
18.01.2024;8,1;;
18.01.2024;9,144;;
18.01.2024;11,155;;
18.01.2024;12,589;;
18.01.2024;12,217;;
18.01.2024;11,09;;
18.01.2024;10,795;;
18.01.2024;9,355;;
18.01.2024;8,762;;
18.01.2024;8,643;;
18.01.2024;9,425;;
18.01.2024;9,952;;
18.01.2024;10,468;;
18.01.2024;10,326;;
18.01.2024;9,453;;
18.01.2024;8,697;;
18.01.2024;8,312;;
18.01.2024;8,093;;
18.01.2024;7,361;;
19.01.2024;7,058;;
19.01.2024;6,695;;
19.01.2024;6,563;;
19.01.2024;6,276;;
19.01.2024;6,332;;
19.01.2024;6,747;;
19.01.2024;7,794;;
19.01.2024;8,717;;
19.01.2024;10,427;;
19.01.2024;10,306;;
19.01.2024;9,515;;
19.01.2024;8,636;;
19.01.2024;7,683;;
19.01.2024;7,335;;
19.01.2024;7,521;;
19.01.2024;7,745;;
19.01.2024;8,469;;
19.01.2024;9,36;;
19.01.2024;9,17;;
19.01.2024;8,223;;
19.01.2024;7,4;;
19.01.2024;7,112;;
19.01.2024;6,864;;
19.01.2024;6,475;;
20.01.2024;6,6;;
20.01.2024;6,345;;
20.01.2024;6,354;;
20.01.2024;6,182;;
20.01.2024;6,185;;
20.01.2024;6,175;;
20.01.2024;6,259;;
20.01.2024;6,69;;
20.01.2024;7,482;;
20.01.2024;7,79;;
20.01.2024;7,18;;
20.01.2024;7,077;;
20.01.2024;6,773;;
20.01.2024;6,878;;
20.01.2024;7,339;;
20.01.2024;7,911;;
20.01.2024;8,78;;
20.01.2024;9,493;;
20.01.2024;9,987;;
20.01.2024;9,157;;
20.01.2024;8,197;;
20.01.2024;7,574;;
20.01.2024;7,468;;
20.01.2024;6,913;;
21.01.2024;6,683;;
21.01.2024;5,755;;
21.01.2024;5,515;;
21.01.2024;5,089;;
21.01.2024;4,851;;
21.01.2024;4,745;;
21.01.2024;4,553;;
21.01.2024;4,396;;
21.01.2024;5,136;;
21.01.2024;5,436;;
21.01.2024;4,606;;
21.01.2024;4,867;;
21.01.2024;3,848;;
21.01.2024;3,769;;
21.01.2024;4,43;;
21.01.2024;4,904;;
21.01.2024;4,983;;
21.01.2024;5,665;;
21.01.2024;6,145;;
21.01.2024;5,864;;
21.01.2024;5,15;;
21.01.2024;5,246;;
21.01.2024;5,039;;
21.01.2024;3,946;;
22.01.2024;3,666;;
22.01.2024;2,224;;
22.01.2024;1,862;;
22.01.2024;0,504;;
22.01.2024;0,506;;
22.01.2024;2;;
22.01.2024;4,05;;
22.01.2024;6,047;;
22.01.2024;6,648;;
22.01.2024;5,758;;
