metric;value
pv_size_kwp;312,0
pv_ac_share_of_kwp;0,9
pv_ac_kw;280,8
bess_share_of_pv_ac;0,8
bess_power_kw_max;224,64000000000001
bess_energy_kwh_max;449,28000000000003
self_consumption_tolerance_pct;2,0
service_level_pct;100,0
contract_power_kw;0,005156187582761051
effective_bess_power_kw;0,005156187582761051
effective_bess_energy_kwh;0,010312375165522102
annual_baseline_pv_to_load_kwh;114083,76354146333
annual_pv_to_load_with_marketer_kwh;114074,18334493457
delta_pv_to_load_pct;-0,008397510944028283
pv_active_hours;4479,0
availability_pct_pv_active_hours;100,0
annual_batt_charge_kwh;23,094564183186748
max_batt_charge_kw;0,005156187582761051
marketer_remuneration_eur_per_kw_year;95,0
marketer_share_of_revenue;0,08
gross_marketer_revenue_eur_per_year;0,48983782036229984
marketer_fee_eur_per_year;0,03918702562898399
net_marketer_revenue_eur_per_year;0,4506507947333158
