Jahr;Faktor_Degradation;Batterie_Erloese_EUR;Batterie_Kosten_EUR;Batterie_Netto_Jahr_EUR;Kumulierter_Batterie_Netto_EUR;Kumulierter_Netto_nach_CAPEX_EUR
1;1,0;7536,69;1592,67;5944,02;5944,02;-47955,98
2;0,99;7429,02;1581,9;5847,12;11791,14;-42108,86
3;0,97;7321,36;1571,14;5750,22;17541,36;-36358,64
4;0,96;7213,69;1560,37;5653,32;23194,68;-30705,32
5;0,94;7106,02;1549,6;5556,42;28751,1;-25148,9
6;0,93;6998,36;1538,84;5459,52;34210,62;-19689,38
7;0,91;6890,69;1528,07;5362,62;39573,23;-14326,77
8;0,9;6783,02;1517,3;5265,72;44838,95;-9061,05
9;0,89;6675,35;1506,54;5168,82;50007,77;-3892,23
10;0,87;6567,69;1495,77;5071,92;55079,69;1179,69
11;0,86;6460,02;1485,0;4975,02;60054,7;6154,7
12;0,84;6352,35;1474,24;4878,12;64932,82;11032,82
13;0,83;6244,69;1463,47;4781,22;69714,04;15814,04
14;0,81;6137,02;1452,7;4684,32;74398,35;20498,35
15;0,8;6029,35;1441,94;4587,42;78985,77;25085,77
