metric;value
E_opt;21.832287
P_opt;10.916144
annual_value_only_pv;31873.959436793026
annual_value_only_pv_net;31873.959436793026
annual_value_with_storage;32519.45212221365
annual_net_value_with_storage;32130.48575499469
annual_delta;256.52631820166425
total_delta;3463.1052957224674
batt_capacity_retention_after_horizon;0.8
capacity_degradation_multiplier;0.9
effective_years_with_degradation;13.5
storage_cost;4148.13453
annual_storage_opex_eur;41.4813453
annual_meter_cost_eur;300.0
annual_pv_direct_marketing_cost_eur;0.0
annual_battery_revenue_eur;474.8502191896123
annual_battery_marketer_cost_eur;47.48502191896123
annual_fixed_costs_with_storage_eur;341.4813453
annual_value_with_storage_after_fixed_costs;32177.97077691365
annual_delta_before_fixed_costs;645.4926854206242
annual_delta_after_fixed_costs;304.0113401206254
annual_total_recurring_costs_eur;388.96636721896124
pays;False
objective;-685.0292342764133
annual_self_consumption_kwh_model;117985.0892304825
annual_self_consumption_kwh_no_storage;121188.93509999999
annual_feed_in_pv_kwh;212881.48963485
annual_feed_in_batt_kwh;1834.6194457999998
annual_feed_in_total_kwh;214716.10908065
annual_pv_to_load_kwh;117181.0879493
annual_batt_to_load_kwh;804.0012811825
annual_curtailment_kwh;54604.71975815
annual_pv_to_load_remuneration_eur;16405.352312902
annual_batt_to_load_remuneration_eur;112.56017936555
max_soc_kwh;21.832287
max_charge_kwh_per_hour;10.916144
max_discharge_kwh_per_hour;10.916144
max_charge_kw;10.916144
max_discharge_kw;10.916144
