run_id;pv_size_kwp;annual_consumption_kwh;capex_batt_E_eur_per_kwh;ok;solver_status;termination;runtime_sec;annual_delta_eur;total_delta_eur;E_opt_kwh;P_opt_kw;objective_eur;error
1;100;200000;190;True;aborted;maxTimeLimit;124,3384685;631,6858993;8527,759641;50,874162;25,437081;-1138,331139;
2;100;200000;200;True;aborted;maxTimeLimit;125,7924404;511,2740103;6902,199139;42,6577;21,32885;-1629,340861;
3;100;200000;210;True;aborted;maxTimeLimit;124,7023118;383,7603889;5180,76525;34,536205;17,268102;-2071,8378;
4;100;200000;220;True;aborted;maxTimeLimit;124,3195168;254,9812097;3442,246331;26,661262;13,330631;-2423,231309;
5;100;200000;230;True;aborted;maxTimeLimit;124,2011938;140,4994737;1896,742896;19,9652;9,9826;-2695,253104;
6;100;200000;240;True;aborted;maxTimeLimit;124,7476574;-19,13367376;-258,3045958;10,934072;5,467036;-2882,481876;
7;300;200000;190;True;aborted;maxTimeLimit;125,0514136;5085,361981;68652,38675;289,08733;144,54366;13725,79405;
8;300;200000;200;True;aborted;maxTimeLimit;125,005238;4479,520007;60473,5201;251,34744;125,67372;10204,0321;
9;300;200000;210;True;aborted;maxTimeLimit;124,9288594;3822,079112;51598,06801;212,89764;106,44882;6889,563613;
10;300;200000;220;True;aborted;maxTimeLimit;125,0665066;4126,581408;55708,84901;220,59095;110,29547;7178,840011;
11;300;200000;230;True;aborted;maxTimeLimit;125,4394302;3386,209206;45713,82427;179,7715;89,88575;4366,379275;
12;300;200000;240;True;aborted;maxTimeLimit;126,5807156;2990,680101;40374,18137;157,83822;78,919112;2493,008567;
13;500;200000;190;True;aborted;maxTimeLimit;125,2334532;10049,77759;135671,9974;556,9685;278,48425;29847,98244;
14;500;200000;200;True;aborted;maxTimeLimit;125,3519598;8899,306604;120140,6392;485,3094;242,6547;23078,75916;
15;500;200000;210;True;aborted;maxTimeLimit;127,2526942;8020,784268;108280,5876;433,1385;216,56925;17321,50262;
16;500;200000;220;True;aborted;maxTimeLimit;126,3585068;6588,192108;88940,59345;347,93584;173,96792;12394,70865;
17;500;200000;230;True;aborted;maxTimeLimit;135,0160298;30644780,4;413704535,5;0;0;413704535,5;
18;500;200000;240;True;aborted;maxTimeLimit;134,6432783;5022,862783;67808,64757;250,69496;125,34748;7641,857171;
19;700;200000;190;True;aborted;maxTimeLimit;127,7676837;15319,42378;206812,221;842,83668;421,41834;46673,25179;
20;700;200000;200;True;aborted;maxTimeLimit;130,5721671;13415,02027;181102,7736;724,32251;362,16126;36238,27161;
21;700;200000;210;True;aborted;maxTimeLimit;135,8261902;12146,8765;163982,8327;648,8567;324,42835;27722,92568;
22;700;200000;220;True;aborted;maxTimeLimit;130,4690969;10105,71579;136427,1632;528,798;264,399;20091,60315;
23;700;200000;230;True;aborted;maxTimeLimit;133,5708701;7773,992474;104948,8984;398,32586;199,16293;13333,95059;
24;700;200000;240;True;aborted;maxTimeLimit;128,5340251;7350,07513;99226,01425;366,12634;183,06317;11355,69265;
25;900;200000;190;True;ok;optimal;114,1988774;22899,66959;309145,5395;1283,1054;641,55269;65355,51348;
26;900;200000;200;True;aborted;maxTimeLimit;126,493967;17996,5824;242953,8624;973,05316;486,52658;48343,23039;
27;900;200000;210;True;aborted;maxTimeLimit;126,5103202;16185,10598;218498,9307;863,321;431,6605;37201,52072;
28;900;200000;220;True;aborted;maxTimeLimit;127,0842252;13722,97561;185260,1707;720,63081;360,31541;26721,39247;
29;900;200000;230;True;aborted;maxTimeLimit;132,4427691;10710,3859;144590,2097;548,53195;274,26597;18427,86116;
30;900;200000;240;True;aborted;maxTimeLimit;134,2195864;4740,886395;64001,96633;243,29384;121,64692;5611,444729;
31;1100;200000;190;True;ok;optimal;99,807469;28531,51709;385175,4807;1599,5473;799,77365;81261,49368;
32;1100;200000;200;True;aborted;maxTimeLimit;127,8103794;22341,22455;301606,5315;1206,672;603,336;60272,13146;
33;1100;200000;210;True;aborted;maxTimeLimit;125,7109975;20230,01552;273105,2095;1082,2194;541,10972;45839,13547;
34;1100;200000;220;True;aborted;maxTimeLimit;126,3261752;17268,57081;233125,7059;909,2395;454,61975;33093,01593;
35;1100;200000;230;True;aborted;maxTimeLimit;126,5185963;13482,90683;182019,2422;693,72436;346,86218;22462,63945;
36;1100;200000;240;True;aborted;maxTimeLimit;127,3966489;31963138,07;431502363,9;0;0;431502363,9;
37;1300;200000;190;True;ok;optimal;100,9467422;34159,6009;461154,6122;1917,0292;958,51461;96919,06417;
38;1300;200000;200;True;ok;optimal;106,8297049;29520,63684;398528,5973;1608,9293;804,46463;76742,73734;
